Apply Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=35dfa2a4640be329,도전욕구가 충만충만한 개발자,엠카탈로그 서울 강남구,,"나가게 됩니다. [개발환경] - 현재 회사의 주요 언어는 PHP와 Java 기반이며, 메인프로젝트인 메이크뷰는 PHP로 운영중입니다. - 개발뿐만... 기술스택은 아래와 같습니다.] AWS, Java, Spring, PHP..."
https://kr.indeed.com/viewjob?jk=7bb6ded875e6777e,개발부서 웹개발 경력직,아비도스 인천 연수구,,"전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머 응용프로그래머응용프로그래머, Java 서버.보안.네트워크.DB서버구축, 서버관리 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발 쇼핑몰.오픈..."
https://kr.indeed.com/viewjob?jk=89c576b4895e33f6,KT (주)자바모바일 소사장님,자바모바일 인천 계양구,,"담당업무 매장운영 모집인원 명 근무형태 추후협의 급여사항 협의 후 결정 자격요건 성별 무관 나이 무관 학력 무관 경력 1년 상세모집내용 * 전화 문의 시 ""모비잡 채용정보 보고 전화드렸습니다."" 라고 말씀해주세요. 접수기..."
https://kr.indeed.com/viewjob?jk=2b397cef42f9ca46,자바스크립트 개발,NHN 4.4 성남 판교역,,"NHN과 함께 세계로 도약할 패기와 역량을 갖춘 인재를 찾습니다! 열정을 가진 분들의 많은 지원 바랍니다. * 본 채용은 상시 채용으로 면접이 수시로 진행되며, 先지원자에게 기회가 먼저 부여되므로 빠른 지원 바랍니다..."
https://kr.indeed.com/viewjob?jk=e8e60d7b06fd0aa0,개발자(백엔드),레이즈지엘에스 서울 서초동,,"년제 대학교 졸업 (전산관련학과 이수 또는 그에 상응하는 교육이수자) JAVA 기반 웹서버 개발/운영을 3년 이상해본 분이면 좋겠습니다. Spring... 스택 백엔드: 구글 앱엔진 / Java 7, Spring 3.X / 데이터..."
https://kr.indeed.com/viewjob?jk=7b754fcbbd65e591,백엔드 개발자 - API 연동 플랫폼 개발,myrealtrip 서울,,준하는 역량을 보유하신 분 API 연동 경험이 풍부하신 분 (다양한 제휴사의 API 스펙 연동 경험이 있으신 분) Java와 Spring Framework에 대한 개발 경험을 갖고 계신 분 [우대사항] Reactive...
https://kr.indeed.com/viewjob?jk=fbf8fd872d668700,[롯데글로벌로지스] 물류연구소 연구원 특별채용,롯데 서울,,"물류분석시스템 개발(IT개발) 물류운영 관련, 분석시스템 개발 업무 JAVA 및 Oracle 개발자 JAVA 및 Oracle 프로젝트 수행 경력 5년 이상 JAVA 및 Oracle SQL Tool 사용 및 개발 가능자(필수..."
https://kr.indeed.com/viewjob?jk=53e0f0149cb1f769,"Android 개발자 (산업기능요원, 전문연구요원)",우아한 형제들 서울 송파구,,"개발환경] - 사용언어: Java, Kotlin - 주요 라이브러리... 텍처 구조의 프리젠테이션 레이어 MVP 패턴으로 구성 [지원자격] - Java 언어에 능숙한 분 - Android 애플리케이션 개발 경험이 있는 분..."
https://kr.indeed.com/viewjob?jk=089931931a0474d5,소형전지사업부 경력,삼성SDI 3.9 충청남도 천안,,"SECS, HSMS 통신 프로그램 개발 천안 전공분야 - 컴퓨터, 산업공학 시스템 관련 전문지식 - JAVA, C# - Oracle 10g 이상(PL/SQL) - 통신프로그래밍 경험자 지원방법 - 삼성채용..."
https://kr.indeed.com/viewjob?jk=1c21a244a72f1783,운영 개발자,Feelway 서울,,"Javascript Framework, Git, Docker 의 경험 우대사항 • 쇼핑몰, 이커머스 근무 경력 • Java개발 경력 채용절차 • 서류합격 -> 스크리닝 테스트 -> 온라인 인성검사 -> 면접 -> 최종합격..."
